county,%ess_workers,%white,%black,%am_indian,%asian,%two_or_more,%hispanic,%white_not_hispanic
Menominee,23.7,0.151,0.004,0.839,0.0,0.002,0.041,0.144
Florence,20.4,0.988,0.003,0.003,0.002,0.002,0.005,0.983
Iron,17.2,0.98,0.003,0.009,0.002,0.005,0.008,0.974
Pepin,21.3,0.989,0.003,0.002,0.002,0.003,0.005,0.984
Forest,18.7,0.869,0.014,0.11,0.002,0.005,0.015,0.86
Buffalo,17.8,0.989,0.002,0.003,0.004,0.002,0.007,0.983
Price,19.7,0.988,0.001,0.006,0.003,0.002,0.008,0.98
Rusk,18.7,0.98,0.007,0.005,0.004,0.002,0.008,0.974
Bayfield,22.4,0.893,0.002,0.089,0.003,0.012,0.009,0.887
Marquette,14.2,0.983,0.007,0.004,0.002,0.003,0.018,0.967
Burnett,18.4,0.938,0.005,0.043,0.003,0.011,0.008,0.931
Ashland,25.8,0.87,0.003,0.11,0.004,0.013,0.012,0.863
Washburn,18.0,0.975,0.003,0.01,0.002,0.01,0.01,0.966
Crawford,19.2,0.975,0.017,0.003,0.003,0.002,0.009,0.967
Sawyer,17.3,0.823,0.005,0.157,0.005,0.009,0.014,0.814
Lafayette,17.0,0.992,0.002,0.001,0.003,0.002,0.008,0.985
Richland,18.1,0.987,0.003,0.002,0.003,0.005,0.011,0.978
Green-Lake,15.7,0.989,0.002,0.002,0.004,0.002,0.02,0.969
Langlade,16.5,0.981,0.003,0.005,0.004,0.007,0.011,0.971
Adams,15.6,0.949,0.034,0.01,0.004,0.002,0.028,0.924
Kewaunee,13.8,0.989,0.002,0.003,0.002,0.003,0.016,0.974
Taylor,15.6,0.991,0.001,0.002,0.003,0.003,0.01,0.981
Jackson,18.8,0.911,0.023,0.06,0.002,0.004,0.024,0.89
Vilas,18.0,0.898,0.003,0.09,0.005,0.004,0.01,0.89
Iowa,17.0,0.989,0.003,0.001,0.003,0.004,0.008,0.98
Waushara,17.9,0.98,0.007,0.004,0.004,0.005,0.046,0.936
Juneau,15.0,0.95,0.022,0.016,0.005,0.006,0.019,0.933
Door,15.1,0.981,0.003,0.008,0.004,0.005,0.011,0.97
Lincoln,16.9,0.981,0.005,0.005,0.005,0.004,0.01,0.972
Trempealeau,19.5,0.993,0.002,0.002,0.001,0.002,0.016,0.978
Vernon,21.9,0.992,0.001,0.002,0.002,0.002,0.008,0.985
Clark,19.4,0.986,0.002,0.006,0.003,0.003,0.017,0.97
Oneida,23.0,0.977,0.005,0.008,0.004,0.005,0.008,0.97
Green,17.5,0.986,0.004,0.001,0.003,0.006,0.01,0.976
Oconto,15.4,0.978,0.002,0.009,0.003,0.007,0.008,0.971
Marinette,19.7,0.981,0.003,0.006,0.004,0.006,0.009,0.973
Shawano,16.5,0.917,0.003,0.066,0.004,0.009,0.015,0.905
Pierce,21.7,0.979,0.005,0.003,0.007,0.007,0.01,0.969
Douglas,24.1,0.954,0.007,0.019,0.008,0.012,0.009,0.946
Polk,19.3,0.977,0.003,0.011,0.003,0.006,0.009,0.97
Dunn,22.0,0.964,0.004,0.003,0.022,0.007,0.008,0.956
Barron,18.0,0.982,0.001,0.008,0.004,0.005,0.011,0.972
Monroe,19.2,0.97,0.007,0.01,0.006,0.006,0.023,0.948
Waupaca,17.9,0.985,0.002,0.004,0.003,0.005,0.019,0.967
Grant,21.3,0.977,0.01,0.002,0.007,0.004,0.006,0.972
Calumet,15.3,0.964,0.006,0.004,0.018,0.007,0.019,0.947
Columbia,17.3,0.976,0.011,0.004,0.004,0.005,0.016,0.961
Sauk,17.6,0.978,0.003,0.009,0.004,0.005,0.022,0.957
Chippewa,20.0,0.979,0.003,0.004,0.009,0.005,0.008,0.972
Portage,20.2,0.96,0.005,0.004,0.024,0.007,0.017,0.945
Wood,22.9,0.965,0.005,0.007,0.017,0.006,0.011,0.955
Manitowoc,16.8,0.961,0.005,0.005,0.023,0.007,0.021,0.941
Jefferson,18.0,0.978,0.005,0.004,0.006,0.006,0.052,0.929
Dodge,16.0,0.96,0.028,0.005,0.004,0.003,0.03,0.931
Ozaukee,20.9,0.964,0.013,0.002,0.014,0.006,0.016,0.949
St-Croix,17.5,0.973,0.005,0.004,0.011,0.008,0.013,0.961
Eau-Claire,25.3,0.952,0.007,0.005,0.025,0.011,0.012,0.942
Walworth,18.7,0.975,0.008,0.003,0.007,0.006,0.083,0.895
Fond-du-Lac,17.4,0.97,0.011,0.005,0.008,0.006,0.03,0.941
Sheboygan,17.2,0.937,0.013,0.004,0.039,0.007,0.045,0.894
La-Crosse,25.0,0.942,0.011,0.004,0.033,0.01,0.01,0.934
Marathon,18.7,0.937,0.004,0.004,0.048,0.007,0.011,0.927
Washington,16.7,0.975,0.007,0.003,0.008,0.006,0.016,0.96
Rock,18.6,0.927,0.046,0.003,0.01,0.013,0.055,0.876
Winnebago,18.8,0.955,0.013,0.005,0.019,0.007,0.025,0.931
Kenosha,18.5,0.908,0.057,0.004,0.013,0.016,0.089,0.825
Outagamie,16.1,0.942,0.008,0.016,0.025,0.008,0.024,0.92
Racine,19.3,0.863,0.109,0.004,0.009,0.014,0.094,0.777
Brown,17.6,0.922,0.016,0.025,0.023,0.013,0.054,0.873
Waukesha,19.8,0.956,0.011,0.002,0.022,0.009,0.031,0.926
Dane,25.9,0.892,0.043,0.004,0.044,0.018,0.044,0.851
Milwaukee,22.4,0.68,0.263,0.008,0.03,0.018,0.108,0.583
